(113.686, 709.912)
(265.978, 466.84)
(23.4022, -88.7527)
(169.576, -86.7683)
(189.088, -141.336)
(130.552, -199.871)
(231.75, -106.611)
(334.931, -90.7369)
(795.698, 601.934)
(327.893, -879.173)
(484.924, -712.625)
(643.858, -791.616)
(-56.5338, 706.994)
(95.7582, 463.922)
(-146.818, -91.6708)
(-0.643864, -89.6863)
(18.8681, -144.254)
(-39.6675, -202.789)
(61.5298, -109.529)
(164.711, -93.6549)
(1037.03, 228.291)
(632.553, 599.138)
(164.749, -881.969)
(321.779, -715.422)
(480.713, -794.413)
(-78.9057, 768.273)
(73.3864, 525.201)
(-169.189, -30.3916)
(-23.0157, -28.4071)
(-3.50371, -82.9744)
(-62.0393, -141.51)
(39.158, -48.2498)
(142.339, -32.3758)
(1015.58, 287.023)
(611.111, 657.87)
(143.307, -823.237)
(300.337, -656.69)
(459.271, -735.681)
(-10.8177, 836.361)
(141.474, 593.289)
(-101.102, 37.6964)
(45.0722, 39.6808)
(64.5843, -14.8865)
(6.04865, -73.4221)
(107.246, 19.8382)
(210.427, 35.7122)
(1080.84, 352.281)
(676.369, 723.128)
(208.565, -757.979)
(365.595, -591.432)
(524.529, -670.423)
(-126.567, 728.393)
(25.725, 485.321)
(-216.851, -70.2717)
(-70.6771, -68.2873)
(-51.1651, -122.855)
(-109.701, -181.39)
(-8.50344, -88.13)
(94.678, -72.2559)
(969.904, 248.801)
(1045.09, 474.989)
(565.431, 619.647)
(97.6262, -861.46)
(254.657, -694.912)
(413.591, -773.903)
(-247.18, 712.83)
(-94.888, 469.758)
(-337.464, -85.8347)
(-191.29, -83.8502)
(-171.778, -138.418)
(-230.314, -196.953)
(-129.116, -103.693)
(-25.935, -87.8188)
(854.304, 233.885)
(929.488, 460.073)
(449.831, 604.731)
(-17.9737, -876.376)
(139.057, -709.828)
(297.991, -788.819)
(-129.905, 1002.79)
(-372.48, 447.197)
(-226.307, 449.181)
(-206.795, 394.614)
(-265.33, 336.078)
(-164.133, 429.339)
(-60.9516, 445.213)
(820.743, 744.761)
(-51.5348, -365.499)
(346.276, -572.97)
(105.496, -198.952)
(264.43, -277.943)
(1042.92, -158.029)
(904.482, -548.481)
(723.914, -851.411)
(-265.108, 1093.25)
(-507.684, 537.656)
(-361.51, 539.641)
(-341.998, 485.073)
(-400.534, 426.538)
(-299.336, 519.798)
(-196.155, 535.672)
(691.159, 831.461)
(-181.118, -278.8)
(216.693, -486.271)
(-24.0877, -112.252)
(134.846, -191.243)
(913.338, -71.329)
(769.278, -458.022)
(588.711, -760.952)
(-168.306, -141.177)
(-89.9933, 94.423)
(-589.611, 245.101)
(63.1182, -1081.53)
(-807.297, -34.2323)
(-648.381, -287.877)
(-576.429, -869.706)
(364.272, -500.765)
(442.585, -265.165)
(-57.032, -114.487)
(5.03495, -216.067)
(163.951, -469.712)
(-89.1758, -1049.47)
(63.3559, -1047.4)
(83.7165, -1104.34)
(128.234, -1068.11)
(235.903, -1051.54)
(720.131, -288.449)
(-360.528, 905.279)
(-207.996, 907.35)
(-187.635, 850.409)
(-248.717, 789.327)
(-143.118, 886.644)
(-35.4486, 903.209)
(-26.7441, 38.9325)
(387.621, -177.172)
(136.821, 212.411)
(302.369, 130.132)
(1113.26, 255.037)
(971.977, -133.706)
(783.555, -449.813)
(-505.871, 286.756)
(-91.5053, 70.6521)
(-342.305, 460.235)
(-176.758, 377.956)
(634.129, 502.861)
(766.224, -104.846)
(471.168, 125.332)
(824.2, -249.785)
(572.626, -462.019)
(282.747, -190.774)
(287.923, -624.558)
(-564.711, 688.905)
(-412.179, 690.976)
(-391.819, 634.036)
(-452.9, 572.954)
(-347.301, 670.271)
(-239.632, 686.835)
(-222.088, -168.073)
(192.277, -384.178)
(-58.5225, 5.40471)
(107.025, -76.8736)
(917.912, 48.0308)
(767.793, -350.08)
(579.372, -666.186)
(-723.182, 782.363)
(-570.65, 784.433)
(-550.289, 727.493)
(-611.371, 666.411)
(-505.772, 763.728)
(-398.103, 780.292)
(-373.698, -78.6625)
(40.6674, -294.767)
(-210.133, 94.8157)
(-44.5848, 12.5374)
(766.302, 137.442)
(904.378, -486.801)
(609.322, -256.623)
(962.354, -631.74)
(710.78, -843.974)
(420.901, -572.729)
(426.077, -1006.51)
(-425.768, 907.821)
(-900.235, -409.91)
(-982.081, -114.883)
(-203.589, 5.03135)
(-113.33, -598.933)
(-396.087, -378.35)
(-57.7703, -737.831)
(-298.858, -941.218)
(-576.654, -681.28)
(-1088.29, 221.737)
(-690.477, 14.2662)
(-931.258, 388.285)
(-772.324, 309.294)
(6.16831, 429.208)
(105.524, -156.362)
(-177.233, 64.2219)
(161.084, -295.26)
(-80.0038, -498.647)
(-357.8, -238.708)
(-352.84, -654.411)
(-885.989, 556.417)
(-488.178, 348.946)
(-728.958, 722.965)
(-570.024, 643.973)
(208.468, 763.888)
(316.597, 192.832)
(33.84, 413.416)
(372.156, 53.9338)
(131.069, -149.453)
(-146.728, 110.485)
(-141.767, -305.217)
(-13.5195, 172.797)
(126.74, 709.79)
(-223.909, 840.031)
(-233.927, 1038.4)
(-254.966, 1033.39)
(-230.921, 1053.43)
(-649.696, 710.792)
(-164.359, -22.157)
(-310.436, -229.739)
(-74.0227, -765.993)
(-160.881, -481.486)
(-20.6211, 55.5067)
(-371.27, 185.748)
(-381.288, 384.114)
(-402.327, 379.105)
(-378.282, 399.142)
(-797.057, 56.5086)
(-603.699, 574.466)
(-305.596, -649.251)
(-451.673, -856.833)
(-755.795, 686.84)
(253.695, -562.044)
(393.955, -25.0507)
(43.3063, 105.19)
(33.2877, 303.557)
(12.2488, 298.548)
(36.2934, 318.585)
(-382.481, -24.0487)
(-189.124, 493.909)
(91.7513, -726.461)
(-54.3251, -934.043)
(-142.215, 1073.81)
(-298.863, 1032.48)
(-358.447, 609.63)
(-716.91, 814.329)
(-782.26, 745.135)
(112.229, -837.118)
(252.488, -300.125)
(-98.1604, -169.884)
(-108.179, 28.483)
(-129.218, 23.4738)
(-105.173, 43.5108)
(-523.948, -299.123)
(-330.59, 218.835)
(-43.8366, -990.104)
(-277.803, 810.164)
(-434.451, 768.84)
(-494.035, 345.987)
(-852.498, 550.686)
(-917.848, 481.492)
(230.118, -833.188)
(370.377, -296.195)
(19.7286, -165.954)
(9.71004, 32.4126)
(-11.3288, 27.4034)
(12.7157, 47.4405)
(-406.059, -295.193)
(-212.701, 222.765)
(69.1534, -986.337)
(-164.813, 813.93)
(-321.461, 772.606)
(-381.045, 349.754)
(-739.508, 554.453)
(-804.858, 485.259)
(226.188, -837.118)
(366.447, -300.125)
(15.7989, -169.884)
(5.78035, 28.483)
(-15.2585, 23.4738)
(8.78604, 43.5108)
(-409.989, -299.123)
(-216.631, 218.835)
(65.387, -990.104)
(-168.58, 810.164)
(-325.227, 768.84)
(-384.811, 345.987)
(-743.275, 550.686)
(-808.624, 481.492)
(279.238, -827.294)
(419.498, -290.301)
(68.849, -160.06)
(58.8304, 38.307)
(37.7916, 33.2979)
(61.8361, 53.3349)
(-356.939, -289.299)
(-163.581, 228.659)
(116.233, -980.688)
(-117.734, 819.58)
(-274.382, 778.255)
(-333.965, 355.403)
(-692.429, 560.102)
(-757.779, 490.908)
(490.947, -1037.04)
(631.206, -500.045)
(280.558, -369.804)
(270.539, -171.437)
(249.5, -176.446)
(273.545, -156.409)
(-145.23, -499.043)
(48.1279, 18.9151)
(85.1768, 618.552)
(-71.4708, 577.228)
(-131.055, 154.375)
(-489.518, 359.074)
